iter	Passed	Remaining
312	677	1486
313	678	1482
314	679	1478
315	681	1474
316	682	1470
317	683	1466
318	685	1462
319	686	1459
320	688	1455
321	689	1451
322	690	1447
323	691	1443
324	693	1439
325	694	1435
326	695	1431
327	697	1428
328	698	1424
329	699	1420
330	701	1418
331	703	1415
332	704	1411
333	706	1408
334	707	1404
335	708	1400
336	709	1396
337	711	1392
338	712	1389
339	713	1385
340	714	1381
341	716	1378
342	717	1374
343	719	1371
344	720	1367
345	721	1364
346	722	1360
347	724	1356
348	725	1353
349	726	1349
350	727	1345
351	728	1342
352	730	1338
353	731	1335
354	733	1332
355	734	1328
356	735	1325
357	737	1322
358	738	1318
359	739	1315
360	741	1312
361	742	1308
362	743	1305
363	745	1302
364	747	1299
365	748	1296
366	750	1293
367	751	1290
368	752	1287
369	754	1284
370	755	1281
371	757	1278
372	758	1275
373	760	1272
374	761	1269
375	763	1266
376	764	1263
377	765	1260
378	767	1257
379	768	1254
380	770	1251
381	772	1248
382	773	1246
383	775	1243
384	776	1241
385	778	1238
386	779	1235
387	781	1232
388	782	1228
389	783	1225
390	784	1222
391	785	1219
392	787	1215
393	788	1212
394	789	1209
395	791	1206
396	792	1203
397	794	1201
398	795	1198
399	796	1195
400	798	1192
401	799	1189
402	800	1185
403	801	1182
404	803	1180
405	804	1176
406	806	1174
407	807	1171
408	808	1168
409	809	1165
410	811	1162
411	812	1159
412	813	1156
413	815	1153
414	816	1150
415	817	1147
416	819	1145
417	821	1143
418	822	1141
419	824	1138
420	825	1135
421	827	1132
422	828	1130
423	829	1127
424	831	1124
425	832	1122
426	834	1119
427	835	1116
428	837	1114
429	838	1111
430	840	1109
431	841	1106
432	842	1103
433	844	1100
434	845	1098
435	847	1096
436	848	1093
437	850	1090
438	851	1088
439	852	1085
440	854	1082
441	855	1080
442	856	1077
443	858	1074
444	859	1072
445	861	1069
446	862	1067
447	864	1064
448	865	1062
449	867	1059
450	868	1057
451	869	1054
452	871	1052
453	872	1049
454	874	1047
